"title","image","anilist_url"
"BOCCHI THE ROCK!","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx130003-HTDmeL4RGeJ4.png","https://anilist.co/anime/130003/BOCCHI-THE-ROCK/"
"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx112151-1qlQwPB1RrJe.png","https://anilist.co/anime/112151/Demon-Slayer-Kimetsu-no-Yaiba-The-Movie-Mugen-Train/"
"Frieren: Beyond Journey’s End","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx154587-qQTzQnEJJ3oB.jpg","https://anilist.co/anime/154587/Frieren-Beyond-Journeys-End/"
"I Want to Eat Your Pancreas","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx99750-pNyly9d3MEgV.jpg","https://anilist.co/anime/99750/I-Want-to-Eat-Your-Pancreas/"
"Kaguya-sama: Love is War -Ultra Romantic-","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx125367-1yuq9NFcQuLI.png","https://anilist.co/anime/125367/Kaguyasama-Love-is-War-Ultra-Romantic/"
"Laid-Back Camp","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx98444-Vzysp1EsrzgD.jpg","https://anilist.co/anime/98444/LaidBack-Camp/"
"Laid-Back Camp Season 3","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx155908-2ZOxqbagDxNv.jpg","https://anilist.co/anime/155908/LaidBack-Camp-Season-3/"
"LAID-BACK CAMP SEASON2","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx104459-pywEKGQON613.jpg","https://anilist.co/anime/104459/LAIDBACK-CAMP-SEASON2/"
"Mushoku Tensei: Jobless Reincarnation","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx108465-1ANspF1EWyFx.jpg","https://anilist.co/anime/108465/Mushoku-Tensei-Jobless-Reincarnation/"
"Mushoku Tensei: Jobless Reincarnation Cour 2","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx127720-ADJgIrUVMdU9.jpg","https://anilist.co/anime/127720/Mushoku-Tensei-Jobless-Reincarnation-Cour-2/"
"Umamusume: Cinderella Gray","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx180516-lebpoKLkw6E3.jpg","https://anilist.co/anime/180516/Umamusume-Cinderella-Gray/"
"86 EIGHTY-SIX","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx116589-qT34qzsZtk9V.jpg","https://anilist.co/anime/116589/86-EIGHTYSIX/"
